feature_id,feature_description
3961,PPC 4xx: Add RGMII support for Sequoia 440EPx  add AMCC Kilauea eval board support   . Also enable NEW EMAC support for Sequoia 440EPx  on the PPC 440GP Ebony board  on the PPC405 Walnut board  on Bamboo board
3180,Adds video output routing
16233,F2FS Support plain user/group quotas
22736,netdevsim Change debugfs tree topology
6548,The serial driver for the Cris platform has been modified to use the new general RS485 Linux data structure (introduced by Alan Cox)
17371,intel: Add Intel Cannon Lake PCH-H pin controller support  add Intel Denverton pin controller support  add Intel Lewisburg GPIO support
36498,platform intel/pmc: Add Alder Lake N support to PMC core driver
39575,Add PMI632 PMIC and RGB LED on sdm632-fairphone-fp3
41404,rtw89 Add TX/RX descriptor v2 and mac port registers for  7 chips
40959,regulator qcom-rpmh: Add regulators support for PMX75
13338,nouveau Initial support for GP100/GP104 GPUs
12660,ARM socfpga: Enable Arria10 L2 cache ECC on startup
38749,mt76: enable page_pool stats
24501,Infiniband/RDMA Support netlink commands in non init_net net namespaces
23926,firmware: ti_sci: Add resource management APIs for ringacc psi-l and udma
5473,SH Add Renesas EDOSK7760 board support.
9744,MPLS: Add limited GSO support
38569,Intel Add probe blocking support to i915.force_probe parameter
3365,Use ktime as clocksource which provides nanosecond timestamping support  introduce SIOCGSTAMPNS ioctl to get timestamps with nanosec resolution  add SO_TIMESTAMPNS / SCM_TIMESTAMPNS socket option  export real timer resolution in /proc/net/psched
17800,panel simple: add Toshiba LT089AC19000
4227,OCFS2 Support commit= mount option.
23682,igc: Add flow control support
281,b44: Support newer revisions of broadcoms
28706,TIPC: Add more encryption features
19194,mlx5e Add ethtool priv-flag for Striding RQ
24019,stmmac Implement Safety Features in XGMAC core
24337,soc: qcom: Add socinfo driver
31809,CIFS Support share failover when remounting
36995,Device Tree Sources: New machines qcom: Add new board revision and LTE SKUs for sc7280-villager family
12399,adc mcp3422: Add support for MCP3425
18060,gyro: st_gyro: add SPI-3wire support to st_gyro framework
13281,KVM Add sthyi instruction emulation
34675,Show crypto capabilities in sysfs
1854,"Export cpu topology in sysfs, /sys/devices/system/cpu/cpuX/topology/*, for more details see the commit"
6691,blktrace Support per-partition tracing
34482,Remove unused Netlogic/Sigma Designs XLR driver
8803,Add online discard support
25824,intel_idle Introduce  module parameter
23259,XFS Introduce new BULKSTAT and INUMBERS ioctls. They report features in the v5 file system format such as inode birth time and the ability to do per-AG BULKSTAT and INUMBERS. The new structures fix the alignment and padding issues that plague the old ioctls.  In xfsprogs some wrapper functions will be introduced that allow new utilities to run on old kernels by emulating the new functionality
18036,gpio: mcp23s08: add support for mcp23018
26904,uniphier-xdmac: Add UniPhier external DMA controller driver
33632,ASoC Add Audio Graph Card2 support
13844,TIPC Add  netlink command to allow UDP remoteip dump
13825,rxrpc Implement slow-start
17758,amdgpu Per VM BO support
43364,bnxt_en: Updates for net-next
33,ACPI: add _PDC support
7649,IPv6 sit: 6rd (IPv6 Rapid Deployment) Support.
26498,irqchip/gic-v4: GICv4.1 architecture support
18382,S390 diag: add diag26c support for VNIC info
493,CIFS: Add missing mount option for optionally cifs perm checks when uids on server and client do not match and for optionally overriding server setting default uid/gid of new cifs files and directories. 
35769,rockchip-dwc: Add legacy interrupt support
19568,dm: add writecache target. The writecache target caches writes on persistent memory or SSD. It is intended for databases or other programs that need extremely low commit latency
3124,Remove the broken SKMC driver
34141,Intel Improved eviction performance with async TTM moves
1557,PCI: create PCI_DEBUG config option to make it easier for users to enable pci debugging
8641,Allow creation of hierarchical cgroups in the blk cgroup controller
41928,panel panel-edp: Add SDC ATNA45AF01
9297,ext4 Re-enable -o discard functionality in no-journal mode
26089,HID google: add moonball USB id
39315,Introduce 64b relocatable kernel
19207,dsa mv88e6xxx: Get mv88e6352 SERDES statistics
17335,octeon-wdt: Add support for cn68XX SOCs
34857,8250_bcm2835aux: Add ACPI support
21625,ath10k Add memory dump support for QCA4019
37476,rockchip: add support for the rk356x variant to rockchip-inno-csidphy
10298,Bluetooth: Perform directed advertising support through connect() when we're in peripheral mode
40862,octeontx2-af: misc MAC block changes
19625,routing: Add address attribute (to control metric of prefix route. For use cases such as VRR (Virtual Router Redundancy) interface managers want efficient control over the order of prefix routes when multiple interfaces have addresses with overlapping/duplicate subnets
37413,microchip: pci1xxxx: Add driver for I2C host controller in multifunction endpoint of pci1xxxx switch
